JER nominal: 0.054 up: 0.055 down: 0.055 vals: [1.010,1.012] 
JER nominal: 0.003 up: 0.003 down: 0.003 vals: [0.987,1.012] 
JER nominal: 0.541 up: 0.540 down: 0.541 vals: [1.000,0.999] 
JER nominal: 0.010 up: 0.010 down: 0.010 vals: [0.999,1.003] 
JER nominal: 0.013 up: 0.013 down: 0.013 vals: [1.003,0.990] 
JER nominal: 0.000 up: 0.000 down: 0.000 vals: [1.000,1.000] 
JER nominal: 0.000 up: 0.000 down: 0.000 vals: [1.000,1.000] 
JER nominal: 0.216 up: 0.216 down: 0.216 vals: [1.001,0.999] 
JER nominal: 0.007 up: 0.006 down: 0.006 vals: [0.977,0.980] 
JER nominal: 0.003 up: 0.003 down: 0.003 vals: [1.000,1.028] 
JEC nominal: 0.054 up: 0.067 down: 0.047 vals: [0.858,1.229] 
JEC nominal: 0.003 up: 0.003 down: 0.002 vals: [0.887,1.032] 
JEC nominal: 0.541 up: 0.565 down: 0.520 vals: [0.962,1.045] 
JEC nominal: 0.010 up: 0.011 down: 0.008 vals: [0.802,1.046] 
JEC nominal: 0.013 up: 0.014 down: 0.012 vals: [0.899,1.051] 
JEC nominal: 0.000 up: 0.000 down: 0.000 vals: [1.000,1.000] 
JEC nominal: 0.000 up: 0.000 down: 0.000 vals: [1.212,1.196] 
JEC nominal: 0.216 up: 0.218 down: 0.215 vals: [0.994,1.009] 
JEC nominal: 0.007 up: 0.007 down: 0.006 vals: [0.966,1.056] 
JEC nominal: 0.003 up: 0.003 down: 0.003 vals: [0.912,1.077] 
JetBTagWeight nominal: 1.536 up: 1.536 down: 1.536 vals: [1.000,1.000] 
JetBTagWeight nominal: 0.203 up: 0.203 down: 0.203 vals: [1.000,1.000] 
JetBTagWeight nominal: 0.047 up: 0.047 down: 0.047 vals: [1.000,1.000] 
JetBTagWeight nominal: 0.150 up: 0.150 down: 0.150 vals: [1.000,1.000] 
JetBTagWeight nominal: 0.080 up: 0.080 down: 0.080 vals: [1.000,1.000] 
JetBTagWeight nominal: 25.466 up: 25.466 down: 25.466 vals: [1.000,1.000] 
JetBTagWeight nominal: 2.104 up: 2.104 down: 2.104 vals: [1.000,1.000] 
JetBTagWeight nominal: 0.233 up: 0.233 down: 0.233 vals: [1.000,1.000] 
JetBTagWeight nominal: 1.100 up: 1.100 down: 1.100 vals: [1.000,1.000] 
JetBTagWeight nominal: 0.626 up: 0.626 down: 0.626 vals: [1.000,1.000] 
JetBTagWeight nominal: 38.348 up: 38.348 down: 38.348 vals: [1.000,1.000] 
JetBTagWeight nominal: 2.020 up: 2.020 down: 2.020 vals: [1.000,1.000] 
JetBTagWeight nominal: 0.152 up: 0.152 down: 0.152 vals: [1.000,1.000] 
JetBTagWeight nominal: 1.006 up: 1.006 down: 1.006 vals: [1.000,1.000] 
JetBTagWeight nominal: 0.541 up: 0.541 down: 0.541 vals: [1.000,1.000] 
JetBTagWeight nominal: 37.723 up: 37.723 down: 37.723 vals: [1.000,1.000] 
JetBTagWeight nominal: 1.724 up: 1.724 down: 1.724 vals: [1.000,1.000] 
JetBTagWeight nominal: 0.162 up: 0.162 down: 0.162 vals: [1.000,1.000] 
JetBTagWeight nominal: 0.839 up: 0.839 down: 0.839 vals: [1.000,1.000] 
JetBTagWeight nominal: 0.475 up: 0.475 down: 0.475 vals: [1.000,1.000] 
JetBTagWeight nominal: 1.027 up: 1.027 down: 1.027 vals: [1.000,1.000] 
JetBTagWeight nominal: 1.848 up: 1.848 down: 1.848 vals: [1.000,1.000] 
JetBTagWeight nominal: 0.011 up: 0.011 down: 0.011 vals: [1.000,1.000] 
JetBTagWeight nominal: 0.020 up: 0.020 down: 0.020 vals: [1.000,1.000] 
JetBTagWeight nominal: 0.006 up: 0.006 down: 0.006 vals: [1.000,1.000] 
JetBTagWeight nominal: 2.102 up: 2.102 down: 2.102 vals: [1.000,1.000] 
JetBTagWeight nominal: 1.725 up: 1.725 down: 1.725 vals: [1.000,1.000] 
JetBTagWeight nominal: 0.027 up: 0.027 down: 0.027 vals: [1.000,1.000] 
JetBTagWeight nominal: 0.067 up: 0.067 down: 0.067 vals: [1.000,1.000] 
JetBTagWeight nominal: 0.034 up: 0.034 down: 0.034 vals: [1.000,1.000] 
JetBTagWeight nominal: 0.054 up: 0.053 down: 0.056 vals: [1.028,0.973] 
JetBTagWeight nominal: 0.003 up: 0.002 down: 0.003 vals: [1.035,0.966] 
JetBTagWeight nominal: 0.541 up: 0.513 down: 0.570 vals: [1.054,0.948] 
JetBTagWeight nominal: 0.010 up: 0.010 down: 0.011 vals: [1.035,0.966] 
JetBTagWeight nominal: 0.013 up: 0.012 down: 0.014 vals: [1.044,0.957] 
JetBTagWeight nominal: 0.000 up: 0.000 down: 0.000 vals: [1.373,0.629] 
JetBTagWeight nominal: 0.000 up: 0.000 down: 0.000 vals: [0.963,1.034] 
JetBTagWeight nominal: 0.216 up: 0.221 down: 0.211 vals: [0.976,1.023] 
JetBTagWeight nominal: 0.007 up: 0.007 down: 0.006 vals: [0.910,1.086] 
JetBTagWeight nominal: 0.003 up: 0.003 down: 0.003 vals: [0.897,1.103] 
TriggerWeight nominal: 1.536 up: 1.541 down: 1.531 vals: [0.997,1.003] 
TriggerWeight nominal: 0.203 up: 0.203 down: 0.202 vals: [0.997,1.003] 
TriggerWeight nominal: 0.047 up: 0.047 down: 0.047 vals: [0.997,1.003] 
TriggerWeight nominal: 0.150 up: 0.151 down: 0.150 vals: [0.997,1.004] 
TriggerWeight nominal: 0.080 up: 0.081 down: 0.080 vals: [0.997,1.003] 
TriggerWeight nominal: 25.466 up: 25.518 down: 25.422 vals: [0.998,1.002] 
TriggerWeight nominal: 2.104 up: 2.109 down: 2.100 vals: [0.998,1.003] 
TriggerWeight nominal: 0.233 up: 0.234 down: 0.232 vals: [0.997,1.003] 
TriggerWeight nominal: 1.100 up: 1.104 down: 1.098 vals: [0.998,1.003] 
TriggerWeight nominal: 0.626 up: 0.628 down: 0.625 vals: [0.998,1.003] 
TriggerWeight nominal: 38.348 up: 38.413 down: 38.270 vals: [0.998,1.002] 
TriggerWeight nominal: 2.020 up: 2.024 down: 2.015 vals: [0.998,1.002] 
TriggerWeight nominal: 0.152 up: 0.152 down: 0.151 vals: [0.997,1.002] 
TriggerWeight nominal: 1.006 up: 1.009 down: 1.004 vals: [0.998,1.003] 
TriggerWeight nominal: 0.541 up: 0.542 down: 0.540 vals: [0.998,1.003] 
TriggerWeight nominal: 37.723 up: 37.795 down: 37.608 vals: [0.997,1.002] 
TriggerWeight nominal: 1.724 up: 1.729 down: 1.718 vals: [0.997,1.003] 
TriggerWeight nominal: 0.162 up: 0.163 down: 0.162 vals: [0.997,1.003] 
TriggerWeight nominal: 0.839 up: 0.841 down: 0.836 vals: [0.997,1.003] 
TriggerWeight nominal: 0.475 up: 0.476 down: 0.473 vals: [0.997,1.003] 
TriggerWeight nominal: 1.027 up: 1.031 down: 1.024 vals: [0.997,1.004] 
TriggerWeight nominal: 1.848 up: 1.854 down: 1.843 vals: [0.997,1.003] 
TriggerWeight nominal: 0.011 up: 0.011 down: 0.011 vals: [0.997,1.004] 
TriggerWeight nominal: 0.020 up: 0.020 down: 0.020 vals: [0.997,1.004] 
TriggerWeight nominal: 0.006 up: 0.006 down: 0.006 vals: [0.998,1.006] 
TriggerWeight nominal: 2.102 up: 2.108 down: 2.096 vals: [0.997,1.003] 
TriggerWeight nominal: 1.725 up: 1.730 down: 1.720 vals: [0.997,1.003] 
TriggerWeight nominal: 0.027 up: 0.028 down: 0.027 vals: [0.997,1.003] 
TriggerWeight nominal: 0.067 up: 0.067 down: 0.067 vals: [0.997,1.005] 
TriggerWeight nominal: 0.034 up: 0.034 down: 0.034 vals: [0.997,1.004] 
TriggerWeight nominal: 0.054 up: 0.055 down: 0.054 vals: [0.996,1.005] 
TriggerWeight nominal: 0.003 up: 0.003 down: 0.003 vals: [0.997,1.005] 
TriggerWeight nominal: 0.541 up: 0.542 down: 0.539 vals: [0.997,1.003] 
TriggerWeight nominal: 0.010 up: 0.010 down: 0.010 vals: [0.998,1.005] 
TriggerWeight nominal: 0.013 up: 0.013 down: 0.013 vals: [0.997,1.004] 
TriggerWeight nominal: 0.000 up: 0.000 down: 0.000 vals: [1.001,1.002] 
TriggerWeight nominal: 0.000 up: 0.000 down: 0.000 vals: [0.996,1.002] 
TriggerWeight nominal: 0.216 up: 0.217 down: 0.216 vals: [0.997,1.003] 
TriggerWeight nominal: 0.007 up: 0.007 down: 0.007 vals: [0.997,1.003] 
TriggerWeight nominal: 0.003 up: 0.003 down: 0.003 vals: [0.997,1.002] 
MvaShift nominal: 1.536 up: 1.488 down: 1.566 vals: [1.020,0.969] 
MvaShift nominal: 0.203 up: 0.195 down: 0.207 vals: [1.020,0.961] 
MvaShift nominal: 0.047 up: 0.043 down: 0.049 vals: [1.042,0.926] 
MvaShift nominal: 0.150 up: 0.147 down: 0.151 vals: [1.006,0.976] 
MvaShift nominal: 0.080 up: 0.079 down: 0.083 vals: [1.029,0.984] 
MvaShift nominal: 25.466 up: 23.201 down: 27.714 vals: [1.088,0.911] 
MvaShift nominal: 2.104 up: 1.996 down: 2.207 vals: [1.049,0.948] 
MvaShift nominal: 0.233 up: 0.223 down: 0.242 vals: [1.038,0.959] 
MvaShift nominal: 1.100 up: 1.049 down: 1.147 vals: [1.042,0.954] 
MvaShift nominal: 0.626 up: 0.592 down: 0.651 vals: [1.039,0.945] 
MvaShift nominal: 38.348 up: 37.559 down: 39.416 vals: [1.028,0.979] 
MvaShift nominal: 2.020 up: 1.993 down: 2.049 vals: [1.015,0.987] 
MvaShift nominal: 0.152 up: 0.148 down: 0.155 vals: [1.023,0.974] 
MvaShift nominal: 1.006 up: 0.985 down: 1.026 vals: [1.019,0.979] 
MvaShift nominal: 0.541 up: 0.536 down: 0.556 vals: [1.027,0.991] 
MvaShift nominal: 37.723 up: 38.269 down: 36.736 vals: [0.974,1.014] 
MvaShift nominal: 1.724 up: 1.773 down: 1.671 vals: [0.969,1.028] 
MvaShift nominal: 0.162 up: 0.166 down: 0.158 vals: [0.976,1.026] 
MvaShift nominal: 0.839 up: 0.857 down: 0.820 vals: [0.978,1.021] 
MvaShift nominal: 0.475 up: 0.481 down: 0.461 vals: [0.970,1.012] 
MvaShift nominal: 1.027 up: 1.037 down: 1.024 vals: [0.997,1.009] 
MvaShift nominal: 1.848 up: 1.831 down: 1.858 vals: [1.005,0.991] 
MvaShift nominal: 0.011 up: 0.010 down: 0.010 vals: [0.978,0.965] 
MvaShift nominal: 0.020 up: 0.019 down: 0.020 vals: [1.017,0.965] 
MvaShift nominal: 0.006 up: 0.006 down: 0.006 vals: [1.103,1.129] 
MvaShift nominal: 2.102 up: 2.085 down: 2.125 vals: [1.011,0.992] 
MvaShift nominal: 1.725 up: 1.711 down: 1.740 vals: [1.008,0.992] 
MvaShift nominal: 0.027 up: 0.027 down: 0.026 vals: [0.960,0.985] 
MvaShift nominal: 0.067 up: 0.067 down: 0.067 vals: [1.000,0.994] 
MvaShift nominal: 0.034 up: 0.033 down: 0.034 vals: [1.017,0.976] 
MvaShift nominal: 0.054 up: 0.052 down: 0.056 vals: [1.029,0.959] 
MvaShift nominal: 0.003 up: 0.003 down: 0.003 vals: [1.014,0.970] 
MvaShift nominal: 0.541 up: 0.523 down: 0.554 vals: [1.024,0.966] 
MvaShift nominal: 0.010 up: 0.010 down: 0.010 vals: [0.967,1.009] 
MvaShift nominal: 0.013 up: 0.012 down: 0.013 vals: [1.005,0.949] 
MvaShift nominal: 0.000 up: 0.000 down: 0.000 vals: [1.000,1.000] 
MvaShift nominal: 0.000 up: 0.000 down: 0.000 vals: [1.000,1.000] 
MvaShift nominal: 0.216 up: 0.212 down: 0.218 vals: [1.010,0.983] 
MvaShift nominal: 0.007 up: 0.006 down: 0.007 vals: [1.000,0.982] 
MvaShift nominal: 0.003 up: 0.003 down: 0.003 vals: [1.084,1.000] 
LooseMvaSF nominal: 1.536 up: 1.537 down: 1.534 vals: [0.999,1.001] 
LooseMvaSF nominal: 0.203 up: 0.203 down: 0.203 vals: [0.999,1.001] 
LooseMvaSF nominal: 0.047 up: 0.047 down: 0.047 vals: [0.999,1.001] 
LooseMvaSF nominal: 0.150 up: 0.150 down: 0.150 vals: [0.999,1.001] 
LooseMvaSF nominal: 0.080 up: 0.080 down: 0.080 vals: [0.999,1.001] 
LooseMvaSF nominal: 25.466 up: 25.496 down: 25.437 vals: [0.999,1.001] 
LooseMvaSF nominal: 2.104 up: 2.107 down: 2.101 vals: [0.999,1.001] 
LooseMvaSF nominal: 0.233 up: 0.233 down: 0.233 vals: [0.999,1.001] 
LooseMvaSF nominal: 1.100 up: 1.102 down: 1.099 vals: [0.999,1.001] 
LooseMvaSF nominal: 0.626 up: 0.627 down: 0.625 vals: [0.999,1.001] 
LooseMvaSF nominal: 38.348 up: 38.404 down: 38.293 vals: [0.999,1.001] 
LooseMvaSF nominal: 2.020 up: 2.023 down: 2.016 vals: [0.998,1.002] 
LooseMvaSF nominal: 0.152 up: 0.152 down: 0.151 vals: [0.998,1.002] 
LooseMvaSF nominal: 1.006 up: 1.008 down: 1.005 vals: [0.998,1.002] 
LooseMvaSF nominal: 0.541 up: 0.542 down: 0.540 vals: [0.998,1.002] 
LooseMvaSF nominal: 37.723 up: 37.804 down: 37.642 vals: [0.998,1.002] 
LooseMvaSF nominal: 1.724 up: 1.728 down: 1.720 vals: [0.998,1.002] 
LooseMvaSF nominal: 0.162 up: 0.162 down: 0.162 vals: [0.998,1.002] 
LooseMvaSF nominal: 0.839 up: 0.841 down: 0.837 vals: [0.998,1.002] 
LooseMvaSF nominal: 0.475 up: 0.476 down: 0.474 vals: [0.998,1.002] 
LooseMvaSF nominal: 1.027 up: 1.029 down: 1.026 vals: [0.999,1.001] 
LooseMvaSF nominal: 1.848 up: 1.851 down: 1.845 vals: [0.999,1.001] 
LooseMvaSF nominal: 0.011 up: 0.011 down: 0.011 vals: [0.999,1.001] 
LooseMvaSF nominal: 0.020 up: 0.020 down: 0.020 vals: [0.999,1.001] 
LooseMvaSF nominal: 0.006 up: 0.006 down: 0.006 vals: [0.999,1.001] 
LooseMvaSF nominal: 2.102 up: 2.105 down: 2.099 vals: [0.999,1.001] 
LooseMvaSF nominal: 1.725 up: 1.728 down: 1.722 vals: [0.998,1.002] 
LooseMvaSF nominal: 0.027 up: 0.027 down: 0.027 vals: [0.999,1.001] 
LooseMvaSF nominal: 0.067 up: 0.067 down: 0.067 vals: [0.998,1.002] 
LooseMvaSF nominal: 0.034 up: 0.034 down: 0.034 vals: [0.998,1.002] 
LooseMvaSF nominal: 0.054 up: 0.054 down: 0.054 vals: [0.999,1.001] 
LooseMvaSF nominal: 0.003 up: 0.003 down: 0.003 vals: [0.998,1.002] 
LooseMvaSF nominal: 0.541 up: 0.541 down: 0.540 vals: [0.999,1.001] 
LooseMvaSF nominal: 0.010 up: 0.010 down: 0.010 vals: [0.998,1.002] 
LooseMvaSF nominal: 0.013 up: 0.013 down: 0.013 vals: [0.999,1.001] 
LooseMvaSF nominal: 0.000 up: 0.000 down: 0.000 vals: [1.005,0.995] 
LooseMvaSF nominal: 0.000 up: 0.000 down: 0.000 vals: [0.998,1.002] 
LooseMvaSF nominal: 0.216 up: 0.216 down: 0.216 vals: [0.999,1.001] 
LooseMvaSF nominal: 0.007 up: 0.007 down: 0.007 vals: [0.998,1.002] 
LooseMvaSF nominal: 0.003 up: 0.003 down: 0.003 vals: [0.998,1.002] 
SigmaEOverEShift nominal: 1.536 up: 1.510 down: 1.557 vals: [1.014,0.983] 
SigmaEOverEShift nominal: 0.203 up: 0.200 down: 0.206 vals: [1.015,0.985] 
SigmaEOverEShift nominal: 0.047 up: 0.047 down: 0.048 vals: [1.025,1.000] 
SigmaEOverEShift nominal: 0.150 up: 0.148 down: 0.150 vals: [1.002,0.983] 
SigmaEOverEShift nominal: 0.080 up: 0.080 down: 0.082 vals: [1.025,0.995] 
SigmaEOverEShift nominal: 25.466 up: 25.542 down: 25.390 vals: [0.997,1.003] 
SigmaEOverEShift nominal: 2.104 up: 2.084 down: 2.116 vals: [1.006,0.991] 
SigmaEOverEShift nominal: 0.233 up: 0.230 down: 0.233 vals: [1.001,0.987] 
SigmaEOverEShift nominal: 1.100 up: 1.090 down: 1.110 vals: [1.009,0.991] 
SigmaEOverEShift nominal: 0.626 up: 0.621 down: 0.624 vals: [0.996,0.991] 
SigmaEOverEShift nominal: 38.348 up: 37.452 down: 39.187 vals: [1.022,0.977] 
SigmaEOverEShift nominal: 2.020 up: 1.996 down: 2.050 vals: [1.015,0.988] 
SigmaEOverEShift nominal: 0.152 up: 0.151 down: 0.154 vals: [1.013,0.996] 
SigmaEOverEShift nominal: 1.006 up: 0.991 down: 1.017 vals: [1.010,0.985] 
SigmaEOverEShift nominal: 0.541 up: 0.535 down: 0.551 vals: [1.018,0.990] 
SigmaEOverEShift nominal: 37.723 up: 38.166 down: 37.299 vals: [0.989,1.012] 
SigmaEOverEShift nominal: 1.724 up: 1.759 down: 1.694 vals: [0.983,1.020] 
SigmaEOverEShift nominal: 0.162 up: 0.163 down: 0.160 vals: [0.989,1.006] 
SigmaEOverEShift nominal: 0.839 up: 0.861 down: 0.828 vals: [0.986,1.026] 
SigmaEOverEShift nominal: 0.475 up: 0.483 down: 0.468 vals: [0.986,1.017] 
SigmaEOverEShift nominal: 1.027 up: 1.052 down: 1.021 vals: [0.994,1.024] 
SigmaEOverEShift nominal: 1.848 up: 1.854 down: 1.854 vals: [1.003,1.003] 
SigmaEOverEShift nominal: 0.011 up: 0.010 down: 0.011 vals: [1.023,0.971] 
SigmaEOverEShift nominal: 0.020 up: 0.020 down: 0.018 vals: [0.920,1.008] 
SigmaEOverEShift nominal: 0.006 up: 0.005 down: 0.005 vals: [0.917,0.952] 
SigmaEOverEShift nominal: 2.102 up: 2.076 down: 2.119 vals: [1.008,0.988] 
SigmaEOverEShift nominal: 1.725 up: 1.714 down: 1.724 vals: [1.000,0.993] 
SigmaEOverEShift nominal: 0.027 up: 0.029 down: 0.027 vals: [0.993,1.048] 
SigmaEOverEShift nominal: 0.067 up: 0.068 down: 0.068 vals: [1.007,1.011] 
SigmaEOverEShift nominal: 0.034 up: 0.033 down: 0.036 vals: [1.057,0.991] 
SigmaEOverEShift nominal: 0.054 up: 0.054 down: 0.055 vals: [1.020,0.997] 
SigmaEOverEShift nominal: 0.003 up: 0.003 down: 0.003 vals: [1.003,0.976] 
SigmaEOverEShift nominal: 0.541 up: 0.539 down: 0.543 vals: [1.005,0.997] 
SigmaEOverEShift nominal: 0.010 up: 0.010 down: 0.010 vals: [1.000,1.006] 
SigmaEOverEShift nominal: 0.013 up: 0.013 down: 0.013 vals: [1.014,0.979] 
SigmaEOverEShift nominal: 0.000 up: 0.000 down: 0.000 vals: [1.000,1.000] 
SigmaEOverEShift nominal: 0.000 up: 0.000 down: 0.000 vals: [1.000,1.000] 
SigmaEOverEShift nominal: 0.216 up: 0.216 down: 0.216 vals: [1.002,1.001] 
SigmaEOverEShift nominal: 0.007 up: 0.007 down: 0.007 vals: [1.000,1.000] 
SigmaEOverEShift nominal: 0.003 up: 0.003 down: 0.003 vals: [1.000,1.000] 
PreselSF nominal: 1.536 up: 1.547 down: 1.524 vals: [0.993,1.007] 
PreselSF nominal: 0.203 up: 0.204 down: 0.201 vals: [0.993,1.007] 
PreselSF nominal: 0.047 up: 0.047 down: 0.046 vals: [0.993,1.007] 
